iso,beta1_waid,beta2_waid,var11,var12,var22
MNG,-0.006014137356084373,-0.0014587842504356283,5.919688097324506e-7,-2.006137421020794e-7,8.822277411588322e-8
MNP,-0.013739215289682987,0,8.854639373752531e-8,0,0
MOZ,-0.027610770968000232,0,2.313928679464192e-7,0,0
MRT,-0.03463874766051526,0,3.4872014061871574e-7,0,0
MSR,-0.017136498510462575,0,4.341821590871151e-8,0,0
MTQ,-0.01774392377181706,0,9.631670324936921e-8,0,0
MUS,-0.013366835213515657,-5.166981292491941e-4,1.457747726495351e-7,-4.355421991578531e-8,1.7377979318164635e-8
MWI,-0.02720740897363236,0,2.9338188330620304e-7,0,0
MYS,-0.01445579226311626,-0.0015656732177275964,1.2742395481474048e-6,-4.4379229412148643e-7,2.1426077761045477e-7
MYT,-0.01779029381638264,0,1.329818193718584e-7,0,0
NAM,-0.03024050784111795,0,5.162172919758955e-7,0,0
NCL,-0.012790985342620353,-3.3164411500870294e-4,1.6567980228012995e-7,-4.524870813956572e-8,1.738877633063888e-8
NER,-0.031135321705255525,0,5.350539220618729e-7,0,0
NGA,-0.02299053515734389,0,4.6537807431967056e-7,0,0
NIC,-0.023284536801921163,-0.0016759115649142634,1.3097757690543067e-6,-3.084536896006748e-7,9.977689225484745e-8
NLD,-0.008024075140189615,-0.001093752811675612,3.7242722236309607e-7,-1.1452366473860341e-7,5.338149684591922e-8
NOR,0.005291455647143085,-0.002045526151435795,5.34144037432998e-7,-1.2262135475799262e-7,4.132776529789051e-8
NPL,-0.012245882879891548,-0.0015536452446189217,8.897882105822061e-7,-3.3586487089171793e-7,1.5445685754546757e-7
NRU,-0.008774680955492085,0,4.260233478022994e-7,0,0
NZL,-0.008144094742578288,-9.949786517007841e-4,2.3909261982506804e-7,-9.044901761395588e-8,4.513060787975061e-8
OMN,-0.03167614554648818,0,1.284337642539123e-7,0,0
PAK,-0.029020258850939836,0,2.0529097872067602e-7,0,0
PAN,-0.015498388893734949,-0.0015664304286490544,5.9933480339537e-7,-2.1622429097745925e-7,1.2227812611397232e-7
PER,-0.010036555660446561,-0.002006859435977587,5.38822113708781e-7,-2.3447151789952353e-7,1.44914223178643e-7
PHL,-0.015544255134599547,-8.480301403374323e-4,5.623396380592944e-7,-1.8901616038924094e-7,8.367852748767634e-8
PLW,-0.014885350955228404,0,8.365272068616108e-8,0,0
PNG,-0.010570071861606967,-0.0016887268338632404,7.892045824028297e-7,-3.2517829335922806e-7,1.5753560072724837e-7
POL,-0.007085743334858063,-0.00141867885000279,1.092921515555686e-6,-3.4418120159801174e-7,1.5506063953613798e-7
PRI,-0.017778691022856057,0,5.733249804379637e-8,0,0
PRK,-0.01343986615666827,-7.199128039517243e-4,5.365649657218988e-7,-1.5201025726564806e-7,6.176039074542287e-8
PRT,-0.020520972569496337,5.336334907371232e-4,5.49178313412715e-7,-1.4059026197032297e-7,5.056899296811887e-8
PRY,-0.029812556067296776,0,1.6346203525836234e-6,0,0
PSE,-0.027893370839406805,0,3.335008457986253e-7,0,0
PYF,-0.012774267492076372,-5.935907965899725e-4,3.474674474272539e-7,-1.3613373985535822e-7,7.67671011487843e-8
QAT,-0.03419442608135295,8.781683446163341e-4,1.2940964666032316e-6,-4.20464930022321e-7,1.8136505439127588e-7
REU,-0.012007202266212755,-5.848985224525503e-4,1.3972952852045122e-7,-4.2299859102902916e-8,1.7326558702874516e-8
ROU,-0.017547134493378146,0,3.378380155969782e-7,0,0
RUS,-0.0027423744841816033,-0.0011631206437968476,4.3638701102972367e-7,-1.2974735227675267e-7,5.688261890562873e-8
RWA,-0.017163758896636717,0,7.38516723070532e-7,0,0
SAU,-0.035187226777453375,0,4.375590245976761e-7,0,0
SDN,-0.030626270338128644,0,5.164232083092346e-7,0,0
SEN,-0.024982665773284136,0,2.537510543667913e-7,0,0
SGP,-0.015247027553614387,-0.0013257355369523938,8.44165193659631e-7,-2.0687417367504433e-7,6.987945881253485e-8
SHN,-0.00905850654863908,-3.4837615193619373e-4,1.3412010129647988e-7,-5.4972909284255806e-8,2.959714732692374e-8
SJM,0.05789868093735821,0,8.851263324927683e-6,0,0
SLB,-0.014510752946908827,0,1.3045389134612838e-7,0,0
SLE,-0.022397108594133325,0,3.644821337577756e-7,0,0
SLV,-0.02199677493049515,-0.0020547025813915654,1.9580406813500167e-6,-5.86184738096353e-7,2.3564752950691458e-7
SMR,-0.022884535444688017,0,3.3541844087441485e-7,0,0
SOM,-0.022331238296965275,0,1.7827615518133594e-7,0,0
SPM,-0.0020315713689151443,-0.0013625638562211276,8.440381738443917e-7,-3.7782034115985444e-7,2.359520866769246e-7
SRB,-0.021565398681263278,0,5.01059226851112e-7,0,0
SSD,-0.023896775116249405,0,1.2036572192496659e-6,0,0
STP,-0.013802946530473578,-8.623410210416155e-4,3.736105415770843e-7,-1.0196101675451142e-7,5.127580407970947e-8
SUR,-0.022985039033348763,0,3.992828110908404e-7,0,0
SVK,-0.014274646074323558,0,4.582539100550243e-7,0,0
SVN,-0.017339829836410962,0,4.383082248697298e-7,0,0
SWE,9.6094343085679e-4,-0.0019469048148604848,5.540801545291938e-7,-1.5672405693168877e-7,5.911925617983274e-8
SWZ,-0.02597663082038973,-0.001279778884953793,1.1382083626191235e-6,-3.341833740702672e-7,1.6363559787544856e-7
SYC,-0.014955306435247015,0,2.048100752750128e-7,0,0
SYR,-0.030981411440880555,0,3.781659263851354e-7,0,0
TCA,-0.017369252073321725,0,1.155349555691702e-7,0,0
TCD,-0.026938217753128987,0,6.700069163696059e-7,0,0
TGO,-0.02288427311841533,0,3.478873976161975e-7,0,0
THA,-0.021532347510005267,-0.0011890093458509846,2.2872269146850264e-6,-6.690338797047545e-7,3.039619224344409e-7
TJK,-0.011997520186813604,-0.0015096968450419926,5.685146166828913e-7,-2.1682296511885676e-7,1.1364527575812439e-7
TKL,-0.013204939560425925,0,3.6555880846949397e-7,0,0
TKM,-0.029960767034999183,0,3.781479605728952e-7,0,0
TLS,-0.016849344470723296,0,1.0426685019479756e-7,0,0
TON,-0.011255581044683036,-3.8889086475226917e-4,2.1810884472934646e-7,-6.683677183853309e-8,2.8838709125307352e-8
TTO,-0.01839134958566393,0,1.4664366027006199e-7,0,0
TUN,-0.026412572691080015,0,2.2979405533112637e-7,0,0
TUR,-0.022098242400698246,0,1.7551543974727298e-7,0,0
TUV,-0.010976342018241887,-6.765752496214507e-4,3.5725059361373184e-7,-1.1073099101612707e-7,5.656681641849769e-8
TWN,-0.01351248427619528,-7.582607766156296e-4,4.966632051022723e-7,-1.980714249122083e-7,1.0899711100755686e-7
TZA,-0.01943786420819529,0,3.019609519391356e-7,0,0
UGA,-0.017359616120804923,0,1.2308443987628792e-6,0,0
UKR,-0.013169576377073632,0,2.7968899368998387e-7,0,0
UMI,-0.015044512936710224,0,2.9262703542482718e-8,0,0
URY,-0.01505611636841405,0,1.6282613188324006e-7,0,0
USA,-0.01923015377453933,0,2.0274686811798735e-07,0,0
UZB,-0.025439967801089258,0,2.4249950047222716e-7,0,0
VCT,-0.017837151266826074,0,9.655183567852059e-8,0,0
VEN,-0.026036438787022588,0,2.841936510549004e-7,0,0
VGB,-0.016911618688870426,0,5.81647049437862e-8,0,0
VIR,-0.017179749800871093,0,5.60358036924767e-8,0,0
VNM,-0.02134583859860365,0,4.7002388273799347e-7,0,0
VUT,-0.013622230733403316,-3.593732740825653e-4,2.0884024669764005e-7,-5.637078589591986e-8,1.9853861215583685e-8
WLF,-0.012145601674991617,-7.522922464889489e-4,2.5775697452932024e-7,-9.145635020976201e-8,4.4721164790285644e-8
WSM,-0.012056488252848316,-6.502541725185128e-4,3.7348657846747756e-7,-1.3362555311300317e-7,6.792174544525927e-8
XAD,-0.023375526059050564,6.21974084873439e-4,6.031065105930428e-7,-1.7995599282627428e-7,6.852944165121255e-8
XKO,-0.01986897332119301,0,4.5651227563796536e-7,0,0
XNC,-0.027802056220412,6.907428974573526e-4,1.1239622186850564e-6,-3.2043613022955865e-7,1.1945429636622551e-7
YEM,-0.021986912783775986,-5.413826948654915e-4,5.17932266456401e-7,-1.405515208922457e-7,6.090604521974338e-8
ZAF,-0.024637232294353606,-6.402999961284406e-4,8.076115253795646e-7,-2.0025540102839192e-7,8.655372281502159e-8
ZMB,-0.028858161620344425,0,3.6719186532704925e-7,0,0
ZWE,-0.030099735861723074,0,5.486666983357735e-7,0,0
